OrderID,Date,Region,Category,UnitPrice,Quantity,Discount,Revenue,Profit,CustomerID
ORD-100561,2023-02-01,East,Office Supplies,38.19,8,0.07,305.5,52.11,17
ORD-100816,2023-02-01,West,Furniture,273.05,10,0.26,2730.52,391.24,381
ORD-101870,2023-02-01,East,Furniture,353.0,1,0.01,353.0,19.98,39
ORD-100055,2023-02-01,West,Office Supplies,35.69,3,0.18,107.07,1.27,191
ORD-101805,2023-02-02,North,Apparel,86.87,11,0.26,955.55,,314
ORD-100351,2023-02-02,West,Electronics,552.24,1,0.26,552.24,37.37,133
ORD-100396,2023-02-02,East,Electronics,413.34,3,0.16,1240.01,-17.05,226
ORD-100810,2023-02-02,North,Office Supplies,42.39,9,0.25,381.47,15.89,351
ORD-101109,2023-02-02,North,Office Supplies,44.81,8,0.11,358.47,37.11,374
ORD-101462,2023-02-04,North,Furniture,360.18,10,0.08,3601.76,741.33,232
ORD-101525,2023-02-04,North,Office Supplies,55.99,3,0.17,167.96,34.02,171
ORD-101780,2023-02-04,North,Furniture,289.94,1,0.05,289.94,11.14,304
ORD-101517,2023-02-05,North,Electronics,520.14,4,0.11,2080.56,258.38,153
ORD-101269,2023-02-05,Central,Apparel,50.38,2,0.26,100.75,-2.45,39
ORD-100573,2023-02-05,West,Furniture,391.17,9,0.12,3520.55,387.97,219
ORD-101285,2023-02-05,North,Electronics,491.63,4,0.03,1966.52,236.8,130
ORD-100698,2023-02-06,Central,Electronics,584.04,4,0.05,2336.15,673.99,399
ORD-101641,2023-02-06,West,Electronics,572.75,8,0.04,4582.0,242.63,77
ORD-101975,2023-02-06,West,Furniture,215.7,11,0.03,2372.69,254.1,14
ORD-100847,2023-02-07,East,Apparel,59.75,6,0.18,358.53,-8.46,5
ORD-101652,2023-02-07,West,Electronics,525.88,11,0.05,5784.65,1121.42,176
ORD-101452,2023-02-07,East,Apparel,73.05,10,0.24,730.51,29.36,163
ORD-100583,2023-02-07,South,Apparel,84.13,3,0.0,252.39,48.16,286
ORD-101463,2023-02-07,East,Groceries,22.17,5,0.05,110.83,12.4,40
ORD-100886,2023-02-08,North,Groceries,22.06,9,0.01,198.54,39.97,320
ORD-100545,2023-02-08,South,Office Supplies,36.12,1,0.15,36.12,8.23,112
ORD-101982,2023-02-09,North,Furniture,267.63,9,0.3,2408.64,85.22,270
ORD-100897,2023-02-09,South,Furniture,386.56,6,0.09,2319.38,,324
ORD-101266,2023-02-10,West,Furniture,225.67,7,0.14,1579.71,234.37,341
ORD-100541,2023-02-10,North,Office Supplies,43.39,10,0.0,433.9,83.32,347
ORD-101025,2023-02-10,South,Groceries,32.74,1,0.16,32.74,6.05,103
ORD-101020,2023-02-10,West,Electronics,623.38,2,0.09,1246.76,167.36,377
ORD-101978,2023-02-11,West,Apparel,87.52,6,0.03,525.09,57.8,295
ORD-101800,2023-02-11,Central,Furniture,295.52,4,0.01,1182.09,324.07,11
ORD-100857,2023-02-11,South,Furniture,317.88,7,0.29,2225.17,246.78,399
ORD-100149,2023-02-12,Central,Electronics,402.19,9,0.03,3619.74,860.74,223
ORD-101135,2023-02-12,East,Electronics,392.78,7,0.21,2749.43,615.79,141
ORD-101614,2023-02-13,South,Furniture,416.91,8,0.02,3335.3,991.43,89
ORD-101410,2023-02-14,West,Furniture,213.78,9,0.1,1924.03,89.58,86
ORD-100618,2023-02-14,Central,Furniture,337.17,2,0.05,674.35,210.98,254
ORD-101350,2023-02-14,North,Electronics,558.35,1,0.23,558.35,-27.31,24
ORD-101469,2023-02-14,South,Electronics,587.87,10,0.07,5878.66,1423.33,312
ORD-101888,2023-02-14,North,Furniture,337.81,6,0.01,2026.85,575.16,108
ORD-100035,2023-02-16,East,Apparel,58.71,1,0.26,58.71,11.89,365
ORD-101455,2023-02-17,East,Furniture,366.81,3,0.04,1100.44,40.05,265
ORD-100278,2023-02-17,Central,Furniture,247.34,9,0.28,2226.02,-169.41,276
ORD-101034,2023-02-18,North,Electronics,628.14,6,0.14,3768.83,900.58,63
ORD-100517,2023-02-18,Central,Electronics,375.71,8,0.05,3005.71,664.38,125
ORD-100386,2023-02-19,West,Office Supplies,30.41,1,0.29,30.41,2.91,295
ORD-100044,2023-02-19,North,Apparel,61.04,9,0.28,549.39,5.3,241
ORD-101768,2023-02-19,West,Electronics,573.22,1,0.21,573.22,-29.49,242
ORD-101361,2023-02-19,North,Office Supplies,45.9,11,0.13,504.94,62.15,391
ORD-100898,2023-02-21,North,Electronics,481.69,4,0.1,1926.76,13.16,350
ORD-101833,2023-02-22,West,Apparel,96.71,10,0.21,967.14,74.82,202
ORD-101021,2023-02-22,North,Electronics,596.38,7,0.3,4174.69,753.05,2
ORD-101952,2023-02-22,North,Electronics,352.55,9,0.24,3172.91,-143.26,348
ORD-100658,2023-02-22,South,Groceries,19.83,7,0.17,138.82,14.13,295
ORD-101214,2023-02-24,Central,Office Supplies,34.93,2,0.0,69.87,6.76,165
ORD-101910,2023-02-24,West,Electronics,550.33,9,0.03,4953.0,1501.14,326
ORD-101252,2023-02-24,South,Electronics,450.26,2,0.21,900.52,15.33,181
ORD-100068,2023-02-25,North,Apparel,62.54,6,0.04,375.22,36.1,136
ORD-101054,2023-02-25,South,Apparel,50.36,8,0.25,402.84,8.13,177
ORD-101026,2023-02-26,West,Apparel,56.43,8,0.23,451.46,-26.58,58
ORD-100126,2023-02-27,East,Office Supplies,40.31,2,0.13,80.61,-0.94,150
ORD-101570,2023-02-27,North,Furniture,356.86,10,0.04,3568.56,998.32,239
ORD-101587,2023-02-27,North,Groceries,34.42,5,0.16,172.09,6.04,2
ORD-100216,2023-02-27,South,Furniture,288.77,2,0.26,577.55,73.96,114
ORD-101095,2023-02-28,South,Furniture,288.66,1,0.18,288.66,59.12,80
ORD-100438,2023-03-01,Central,Electronics,612.34,3,0.28,1837.03,340.57,326
ORD-101850,2023-03-01,South,Electronics,628.61,1,0.08,628.61,30.08,177
ORD-101360,2023-03-02,West,Electronics,424.68,5,0.08,2123.41,546.95,267
ORD-100279,2023-03-02,East,Electronics,545.39,2,0.1,1090.78,321.95,306
ORD-101121,2023-03-03,North,Apparel,66.85,11,0.29,735.4,51.56,108
ORD-101327,2023-03-03,North,Apparel,77.37,11,0.02,851.1,45.34,280
ORD-100430,2023-03-03,Central,Office Supplies,38.0,10,0.0,380.05,19.45,66
ORD-101255,2023-03-03,East,Electronics,604.73,10,0.06,6047.3,212.57,110
ORD-100245,2023-03-03,South,Office Supplies,46.29,11,0.05,509.14,132.72,80
ORD-100677,2023-03-03,South,Office Supplies,44.19,2,0.2,88.37,15.47,290
ORD-100006,2023-03-04,Central,Office Supplies,49.67,3,0.16,149.02,13.22,111
ORD-100880,2023-03-04,East,Apparel,64.27,5,0.22,321.33,-9.08,314
ORD-100752,2023-03-04,Central,Office Supplies,49.27,1,0.24,49.27,6.62,74
ORD-100195,2023-03-05,North,Furniture,414.59,4,0.16,1658.35,408.43,47
ORD-101720,2023-03-06,East,Furniture,292.65,9,0.22,2633.84,-83.25,82
ORD-101542,2023-03-06,South,Groceries,33.65,3,0.13,100.96,11.45,56
ORD-100727,2023-03-06,Central,Electronics,416.6,10,0.11,4165.99,743.87,249
ORD-100000,2023-03-07,North,Apparel,59.69,5,0.17,298.45,54.08,368
ORD-101930,2023-03-07,East,Apparel,60.83,2,0.02,121.66,33.65,262
ORD-100694,2023-03-07,West,Apparel,85.72,9,0.24,771.52,125.7,179
ORD-101530,2023-03-07,East,Apparel,62.43,4,0.16,249.72,35.79,223
ORD-101808,2023-03-07,North,Furniture,299.12,6,0.13,1794.7,79.59,313
ORD-100171,2023-03-07,West,Apparel,79.66,9,0.21,716.93,28.94,306
ORD-100358,2023-03-08,West,Apparel,66.82,7,0.27,467.76,54.84,219
ORD-100825,2023-03-08,North,Office Supplies,32.44,2,0.26,64.87,7.44,366
ORD-100909,2023-03-08,Central,Apparel,55.55,11,0.07,611.05,179.49,211
ORD-101632,2023-03-08,Central,Furniture,394.98,1,0.07,394.98,32.99,357
ORD-100132,2023-03-08,North,Electronics,384.14,10,0.24,3841.44,288.42,225
ORD-100032,2023-03-09,East,Electronics,329.62,6,0.17,1977.74,361.53,127
ORD-101689,2023-03-10,East,Apparel,72.3,2,0.05,144.6,32.08,72
ORD-100580,2023-03-10,Central,Apparel,83.21,3,0.18,249.64,48.18,149
ORD-100375,2023-03-10,North,Furniture,353.18,4,0.17,1412.7,279.36,70
ORD-100009,2023-03-10,East,Apparel,68.74,10,0.18,687.39,38.26,70
ORD-100950,2023-03-10,Central,Furniture,282.88,5,0.09,1414.38,169.77,149
ORD-100790,2023-03-11,West,Electronics,573.3,11,0.27,6306.27,1238.04,77
ORD-100699,2023-03-11,West,Furniture,221.28,2,0.03,442.56,127.96,94
ORD-100242,2023-03-11,South,Groceries,22.85,8,0.3,182.83,-5.37,215
ORD-100673,2023-03-11,North,Furniture,325.32,8,0.05,2602.56,656.14,38
ORD-100976,2023-03-11,East,Electronics,553.04,6,0.01,3318.27,598.37,347
ORD-101841,2023-03-12,South,Furniture,418.03,8,0.06,3344.2,927.14,223
ORD-100086,2023-03-12,West,Electronics,561.94,6,0.28,3371.62,401.53,127
ORD-100217,2023-03-12,East,Electronics,326.93,4,0.17,1307.71,-45.76,122
ORD-100587,2023-03-14,East,Office Supplies,36.25,2,0.13,72.5,20.05,251
ORD-100890,2023-03-14,North,Electronics,619.44,9,0.24,5574.96,97.51,328
ORD-101737,2023-03-14,East,Electronics,503.0,7,0.05,3521.03,942.41,61
ORD-101787,2023-03-14,East,Apparel,84.24,2,0.11,168.49,15.45,48
ORD-101879,2023-03-15,North,Furniture,232.83,7,0.11,1629.81,295.1,139
ORD-101288,2023-03-16,North,Groceries,23.35,9,0.12,210.18,25.27,197
ORD-100579,2023-03-16,Central,Electronics,551.92,3,0.05,1655.77,84.54,136
ORD-101435,2023-03-16,Central,Office Supplies,38.88,10,0.17,388.79,49.37,293
ORD-101358,2023-03-17,Central,Office Supplies,42.22,6,0.18,253.34,5.1,209
ORD-101449,2023-03-17,East,Electronics,554.6,10,0.1,5545.98,903.75,39
ORD-100257,2023-03-17,West,Furniture,298.81,10,0.07,2988.1,413.03,34
ORD-101729,2023-03-18,Central,Furniture,331.37,9,0.28,2982.32,-106.5,245
ORD-100515,2023-03-18,South,Apparel,97.07,10,0.17,970.74,16.0,2
ORD-101165,2023-03-18,South,Electronics,520.5,2,0.12,1041.0,173.35,241
ORD-101826,2023-03-18,East,Electronics,319.72,5,0.27,1598.59,89.54,361
ORD-100459,2023-03-19,South,Apparel,52.11,11,0.17,573.24,87.58,244
ORD-100170,2023-03-19,South,Groceries,30.04,9,0.29,270.34,15.17,67
ORD-100582,2023-03-19,South,Furniture,278.11,3,0.16,834.33,102.43,36
ORD-101854,2023-03-19,West,Electronics,358.95,8,0.03,2871.56,306.47,228
ORD-100817,2023-03-19,East,Electronics,378.6,7,0.24,2650.21,392.23,259
ORD-100321,2023-03-20,East,Furniture,343.18,7,0.16,2402.25,307.0,9
ORD-101226,2023-03-20,West,Office Supplies,41.6,5,0.3,207.98,-2.5,301
ORD-100309,2023-03-21,Central,Electronics,403.76,9,0.29,3633.81,-201.2,282
ORD-100479,2023-03-21,East,Office Supplies,55.97,10,0.24,559.68,111.29,306
ORD-101271,2023-03-21,East,Office Supplies,34.2,1,0.23,34.2,1.06,266
ORD-101815,2023-03-22,East,Electronics,375.56,10,0.05,3755.62,910.01,281
ORD-101537,2023-03-22,South,Groceries,27.77,11,0.07,305.51,19.63,241
ORD-100807,2023-03-22,South,Office Supplies,51.25,6,0.24,307.5,5.52,159
ORD-101465,2023-03-23,West,Electronics,584.42,4,0.07,2337.69,550.07,98
ORD-101488,2023-03-23,North,Electronics,321.47,3,0.29,964.41,-24.15,343
ORD-101866,2023-03-23,South,Electronics,478.05,9,0.0,4302.42,668.78,271
ORD-101483,2023-03-23,South,Electronics,546.5,6,0.19,3279.01,540.02,69
ORD-101578,2023-03-24,North,Office Supplies,55.13,11,0.04,606.43,139.06,14
ORD-100119,2023-03-25,Central,Electronics,474.44,5,0.22,2372.18,79.97,204
ORD-100500,2023-03-25,West,Furniture,245.95,7,0.01,1721.67,266.48,210
ORD-101320,2023-03-25,North,Apparel,60.31,9,0.22,542.83,24.66,82
ORD-100872,2023-03-25,Central,Electronics,352.62,11,0.0,3878.84,1145.91,379
ORD-101215,2023-03-25,North,Electronics,363.95,1,0.22,363.95,-11.84,362
ORD-101019,2023-03-26,South,Apparel,95.49,7,0.24,668.43,90.82,273
ORD-100537,2023-03-26,West,Office Supplies,44.99,11,0.28,494.86,70.6,19
ORD-100364,2023-03-26,East,Furniture,395.74,5,0.17,1978.72,-23.48,262
ORD-100725,2023-03-27,North,Apparel,92.2,10,0.28,921.97,193.21,69
ORD-100777,2023-03-28,South,Electronics,487.93,1,0.24,487.93,35.6,300
ORD-100197,2023-03-28,West,Electronics,423.52,3,0.06,1270.56,285.55,346
ORD-100312,2023-03-28,East,Office Supplies,37.71,5,0.01,188.57,40.87,118
ORD-100496,2023-03-28,Central,Apparel,96.25,10,0.05,962.52,123.44,189
ORD-101945,2023-03-28,South,Apparel,86.92,6,0.01,521.53,122.27,331
ORD-101342,2023-03-29,West,Office Supplies,52.66,3,0.25,157.99,3.61,205
ORD-100862,2023-03-29,Central,Apparel,80.65,7,0.26,564.58,5.65,24
ORD-100723,2023-03-29,East,Furniture,396.65,9,0.23,3569.86,-50.55,213
ORD-101049,2023-03-29,South,Apparel,73.6,3,0.12,220.81,14.58,266
ORD-100945,2023-03-29,Central,Groceries,22.12,4,0.21,88.49,20.61,87
ORD-101156,2023-03-29,North,Groceries,25.4,8,0.14,203.18,51.15,140
ORD-101618,2023-03-30,West,Furniture,261.43,11,0.18,2875.69,132.3,332
ORD-100417,2023-03-30,East,Apparel,96.04,2,0.26,192.07,-10.55,133
ORD-101875,2023-03-30,North,Office Supplies,42.0,3,0.11,126.01,13.62,129
ORD-100385,2023-03-31,North,Apparel,87.18,7,0.12,610.23,50.32,35
ORD-100782,2023-03-31,South,Groceries,25.64,3,0.29,76.91,-1.32,141
ORD-100783,2023-03-31,North,Electronics,587.81,1,0.08,587.81,49.93,207
ORD-101237,2023-04-01,South,Groceries,29.2,8,0.2,233.62,41.38,110
ORD-101604,2023-04-01,North,Apparel,84.88,10,0.05,848.76,69.65,212
ORD-100435,2023-04-01,Central,Office Supplies,30.57,8,0.24,244.57,55.98,137
ORD-101927,2023-04-02,East,Office Supplies,53.54,8,0.01,428.32,115.39,307
ORD-100873,2023-04-02,Central,Electronics,363.82,1,0.23,363.82,4.89,39
ORD-101609,2023-04-02,South,Groceries,17.68,3,0.11,53.03,-0.21,254
ORD-100156,2023-04-03,North,Electronics,417.3,5,0.26,2086.48,138.35,74
ORD-101629,2023-04-03,North,Electronics,535.48,7,0.2,3748.38,,83
ORD-100220,2023-04-04,North,Electronics,347.25,11,0.09,3819.71,939.15,315
ORD-100758,2023-04-04,Central,Groceries,21.69,5,0.12,108.47,29.17,217
ORD-101804,2023-04-04,North,Apparel,92.36,9,0.07,831.27,180.59,196
ORD-101004,2023-04-04,North,Office Supplies,29.71,7,0.0,207.95,56.7,61
ORD-100017,2023-04-04,West,Electronics,468.31,1,0.21,468.31,85.56,305
ORD-100704,2023-04-05,East,Electronics,483.94,7,0.14,3387.56,116.49,70
ORD-100944,2023-04-05,West,Electronics,326.74,4,0.24,1306.97,276.0,282
ORD-100073,2023-04-05,Central,Apparel,73.78,2,0.13,147.56,33.21,202
ORD-101775,2023-04-06,South,Electronics,436.33,3,0.03,1308.99,55.82,95
ORD-100433,2023-04-06,North,Electronics,449.48,8,0.19,3595.87,371.49,171
ORD-101644,2023-04-07,South,Electronics,512.89,11,0.26,5641.82,547.59,261
ORD-101925,2023-04-07,East,Furniture,245.5,8,0.29,1963.98,19.08,316
ORD-100442,2023-04-07,North,Electronics,572.89,5,0.1,2864.46,850.18,136
ORD-100413,2023-04-07,Central,Electronics,374.45,6,0.09,2246.7,360.54,165
ORD-100669,2023-04-07,Central,Office Supplies,51.3,5,0.27,256.52,-13.91,35
ORD-101894,2023-04-08,Central,Apparel,56.57,1,0.16,56.57,-1.14,309
ORD-100947,2023-04-08,Central,Electronics,525.24,6,0.22,3151.44,585.13,13
ORD-100603,2023-04-09,West,Electronics,601.78,8,0.3,4814.24,661.82,182
ORD-101357,2023-04-09,East,Furniture,407.98,11,0.19,4487.79,1040.36,94
ORD-101818,2023-04-09,South,Office Supplies,31.46,2,0.12,62.92,0.26,222
ORD-100822,2023-04-10,East,Office Supplies,48.19,4,0.19,192.74,1.92,38
ORD-101341,2023-04-10,North,Electronics,600.26,11,0.0,6602.88,689.09,110
ORD-101527,2023-04-11,Central,Apparel,50.29,4,0.02,201.17,51.72,288
ORD-101835,2023-04-11,East,Apparel,56.95,1,0.0,56.95,17.56,335
ORD-100681,2023-04-11,West,Electronics,432.5,7,0.18,3027.5,633.7,179
ORD-100720,2023-04-12,North,Office Supplies,49.37,7,0.24,345.62,-6.21,85
ORD-101444,2023-04-12,East,Electronics,386.07,3,0.21,1158.2,33.96,277
ORD-100461,2023-04-13,East,Apparel,54.42,4,0.2,217.7,,200
ORD-100619,2023-04-13,North,Groceries,18.7,5,0.22,93.51,16.2,141
ORD-100117,2023-04-13,West,Apparel,86.57,7,0.1,605.98,98.65,156
ORD-100240,2023-04-13,Central,Groceries,19.93,9,0.02,179.35,23.29,246
ORD-100305,2023-04-13,Central,Electronics,514.15,11,0.04,5655.68,1196.19,328
ORD-100768,2023-04-13,North,Apparel,66.23,6,0.17,397.36,81.54,126
ORD-100099,2023-04-13,North,Electronics,586.47,4,0.28,2345.9,-47.46,281
ORD-101089,2023-04-14,East,Electronics,544.71,7,0.13,3812.98,616.92,173
ORD-101186,2023-04-14,West,Electronics,541.63,1,0.22,541.63,120.25,320
ORD-100328,2023-04-14,South,Office Supplies,40.26,1,0.24,40.26,1.66,92
ORD-100833,2023-04-15,North,Office Supplies,46.29,3,0.17,138.88,23.66,364
ORD-101611,2023-04-15,West,Furniture,263.89,8,0.21,2111.12,214.96,87
ORD-101962,2023-04-15,North,Office Supplies,44.14,2,0.04,88.28,22.61,50
ORD-100407,2023-04-16,North,Electronics,366.48,11,0.21,4031.24,590.8,363
ORD-100923,2023-04-16,South,Groceries,22.79,7,0.1,159.54,17.65,141
ORD-101062,2023-04-16,East,Electronics,363.67,9,0.14,3273.05,160.64,228
ORD-100527,2023-04-16,East,Electronics,377.43,1,0.21,377.43,53.12,81
ORD-100255,2023-04-16,Central,Apparel,91.92,6,0.06,551.49,61.75,265
ORD-100521,2023-04-17,East,Groceries,21.87,10,0.11,218.67,48.07,167
ORD-101606,2023-04-18,East,Groceries,32.65,8,0.15,261.24,43.5,242
ORD-100751,2023-04-18,North,Office Supplies,38.71,2,0.12,77.42,5.39,76
ORD-100974,2023-04-18,North,Electronics,620.23,10,0.09,6202.32,1162.43,266
ORD-101934,2023-04-18,West,Office Supplies,46.03,7,0.26,322.22,59.97,118
ORD-100937,2023-04-19,East,Office Supplies,39.03,9,0.01,351.23,80.87,99
ORD-100456,2023-04-19,North,Groceries,20.62,10,0.29,206.19,13.02,145
ORD-101574,2023-04-19,East,Apparel,70.22,11,0.02,772.45,217.69,343
ORD-101676,2023-04-20,East,Electronics,452.24,4,0.18,1808.97,88.52,299
ORD-101697,2023-04-20,North,Office Supplies,31.45,3,0.13,94.35,13.61,17
ORD-101523,2023-04-20,East,Groceries,21.34,11,0.15,234.77,-4.76,226
ORD-101103,2023-04-20,Central,Furniture,385.38,8,0.21,3083.07,397.06,151
ORD-100356,2023-04-21,East,Office Supplies,44.68,11,0.2,491.46,46.98,311
ORD-101480,2023-04-21,East,Office Supplies,49.21,6,0.29,295.24,27.2,323
ORD-100272,2023-04-21,South,Office Supplies,51.11,7,0.29,357.75,30.81,291
ORD-100181,2023-04-22,North,Electronics,436.25,6,0.23,2617.48,308.56,200
ORD-100389,2023-04-22,North,Electronics,608.01,9,0.17,5472.07,125.74,100
ORD-101969,2023-04-22,North,Office Supplies,43.89,9,0.16,394.97,27.52,158
ORD-100535,2023-04-23,East,Apparel,85.86,7,0.07,600.99,71.82,68
ORD-101045,2023-04-23,North,Electronics,437.3,6,0.02,2623.81,738.44,375
ORD-101536,2023-04-23,West,Apparel,55.02,3,0.26,165.07,11.5,116
ORD-101228,2023-04-23,North,Office Supplies,40.66,4,0.23,162.65,22.32,330
ORD-100960,2023-04-23,East,Furniture,213.03,6,0.07,1278.19,102.84,191
ORD-100057,2023-04-23,North,Electronics,488.13,7,0.09,3416.94,414.9,138
